ra,dec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,pmra,pmdec
56.0517402920591,24.972771121423662,1.77415610765104,12.766764,17.24436,18.341148,16.187065,13.574055234741136,-24.43283224852127
56.33840131968797,24.989985985804296,1.6792573907352004,54.941555,13.961323,14.430568,13.3330765,4.81041615760654,-15.521335368011599
56.40457265673144,24.82485757917893,1.1673835876743301,21.381489,15.433402,15.938289,14.762867,8.610720371066215,-7.468924357257893
56.43978978774277,24.98747475115385,0.7914034216096442,21.00776,11.352838,12.004973,10.602241,7.745107183381606,0.3060413594634857
56.12020449534123,24.747680350338648,3.7841111630169055,12.70351,17.943613,19.472027,16.616735,1.9972338571580202,-8.5418603285321
56.42839402974584,24.990009249574307,1.3061381502304064,46.79487,14.157352,14.643776,13.51663,4.4924627363790535,-13.658349319452956
56.110803130997446,24.808100424067643,2.6265606758159974,15.925248,17.880522,19.083054,16.693455,12.319659969919055,-24.199313795233284
56.50374140670497,24.977884750817815,2.553805398201038,36.902607,16.28908,17.274765,15.292551,-0.026321809353365477,11.366061548917935
56.454039613849446,24.9938785143629,0.9929556040954046,11.596006,16.919857,17.676968,16.055803,-3.110723892030975,-6.1622557854623246
56.18294420472436,24.904850762553593,0.9014760228326535,24.81564,14.095043,14.462418,13.560339,1.9468137946001836,-2.802613236558088
56.14167297165776,24.957772889011316,0.9544636048054932,10.479704,16.647287,17.402632,15.796,6.175635061557962,-6.680737010967538
56.48942609837851,24.971002255268342,0.871431072864733,15.784625,15.768855,16.243238,15.130521,-4.21160051753008,-1.13743155328466
56.16544153628661,24.91078074932256,0.6953138590092917,16.191975,14.7648735,15.152978,14.204589,0.7612490975124304,-3.957394805747325
56.16187091583493,24.85085818895165,0.5863030640807946,10.182879,15.671794,16.163256,15.002368,2.540012918796538,0.8480713865165344
56.28453967634471,24.77197694964994,0.7604853742212226,27.81656,13.6271715,13.849105,13.2574,5.938593317964517,-5.355296394269042
56.302886848256385,24.76007365065784,2.632099403018184,22.977139,17.151167,18.475834,15.959139,-1.0252729611601472,-3.6065298486364967
55.99726733856286,24.932767556625635,1.8558033484240832,16.60739,16.873209,17.913979,15.834353,-1.7899396036811428,-7.645476555237945
56.25481621280633,24.77791432889511,7.417320599391199,76.77848,16.562204,18.214901,15.276288,20.27206260935502,-46.835696502820824
56.102938218377226,24.864663544100104,7.013173551302467,39.891945,15.943587,17.64519,14.6627245,19.123805570000357,-47.17399776516571
56.30451506407258,24.746270562209297,1.2424078391935378,30.711943,15.131681,15.660151,14.429353,22.92279736335872,-9.46346066046476
56.152921517372505,24.785853330476243,0.6486899041075673,15.046931,14.817044,15.299282,14.173508,6.76130010954946,-1.7362481956847737
56.14432429584112,24.79235154928158,1.7603558295613677,44.362976,14.608646,15.125475,13.935442,1.2881768676530196,-21.078128316870153
56.29190086864373,24.92980366077253,4.888115951487593,11.555563,16.097776,16.284725,15.345587,7.704954552179599,-2.3178476093971785
55.97090106219855,24.93214234670917,1.6404465201734995,10.185087,17.734003,18.800861,16.639833,-5.029528187950693,4.426672349208563
56.08111094367142,24.78476115409436,3.5298114893611987,37.861435,16.309713,17.414595,15.252999,13.440887188156344,5.5858360904660955
56.24727987058528,24.655705911949305,0.7856834073941495,20.741627,14.547553,14.965077,13.95218,0.3290530115481518,-3.783112630344022
56.248962736481666,24.646362553208448,1.540881347490207,31.747297,14.885339,15.430452,14.182703,7.507924045140978,-6.3466468592016385
55.98634871354892,24.993330504101202,7.416413756346845,102.34739,15.076346,16.409908,13.933656,20.98154628692373,-44.74020281032057
56.26018090526816,24.800708329076755,2.3263761903331113,16.76883,17.71878,18.98485,16.515223,-8.209323045770569,-1.3474260762871924
56.36826420937135,24.809700000754418,2.0642536897552857,51.850037,15.110358,15.9585085,14.203171,4.8437229569643865,-5.714494279897659
56.60566772052504,24.980332097699193,0.6103490800246107,11.7897835,15.4165,15.7887335,14.869478,2.7576945589388395,-2.155386694179209
56.20533386905042,24.880160418301465,4.701516781059755,44.653896,15.718305,16.905102,14.620341,-22.744210758186163,-32.11444809137612
